epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2797,1.38505,4.87213,1.20011,0.032,0.10366,0.01038,0.00737,1.28913,3.1549,1.09756,8e-05,8e-05,8e-05
2,15.1508,1.01086,2.5869,0.98537,0.86916,0.56707,0.70988,0.48697,1.18671,6.83813,1.03979,0.000178218,0.000178218,0.000178218
3,18.9386,0.92479,0.74228,0.93396,0.85539,0.67683,0.74396,0.50662,1.23801,1.07492,1.03262,0.000274456,0.000274456,0.000274456
4,22.3943,1.02381,0.62194,0.89922,0.82864,0.64634,0.74952,0.56447,0.96666,1.65708,0.93744,0.000368714,0.000368714,0.000368714
5,25.9272,0.86816,0.60101,0.90534,0.7519,0.62195,0.70142,0.52121,1.02142,1.32975,0.97733,0.000460992,0.000460992,0.000460992
6,29.2293,0.80723,0.49848,0.90363,0.47829,0.62805,0.42993,0.3169,0.99445,2.11853,0.97732,0.00055129,0.00055129,0.00055129
7,32.4365,0.79233,0.46037,0.87457,0.11698,0.76829,0.10448,0.07491,nan,nan,nan,0.000639608,0.000639608,0.000639608
8,35.4592,0.74203,0.44026,0.85766,0.25225,0.71951,0.21719,0.15244,nan,nan,nan,0.000725946,0.000725946,0.000725946
9,38.4754,0.74563,0.42114,0.88035,0.20301,0.60366,0.16677,0.11409,1.0684,nan,0.97866,0.000810304,0.000810304,0.000810304
10,41.4788,0.77665,0.42304,0.87806,0.12679,0.68293,0.10553,0.07363,1.00431,inf,0.9451,0.000892682,0.000892682,0.000892682
11,44.432,0.78283,0.42978,0.87022,0.18826,0.62805,0.15173,0.10704,nan,nan,nan,0.00097308,0.00097308,0.00097308
12,48.6662,0.7779,0.44444,0.87697,0.11806,0.39634,0.07321,0.04819,1.11557,inf,1.01497,0.0010515,0.0010515,0.0010515
13,52.1086,0.70967,0.45286,0.85826,0.10017,0.46341,0.0638,0.0428,1.07744,nan,1.03971,0.00112794,0.00112794,0.00112794
14,55.7685,0.72718,0.43573,0.85306,0.05353,0.39634,0.03366,0.0221,nan,nan,nan,0.00120239,0.00120239,0.00120239
15,59.4467,0.71537,0.44918,0.85197,0.02697,0.35976,0.01211,0.00742,nan,nan,nan,0.00127487,0.00127487,0.00127487
16,62.6752,0.74362,0.41482,0.86872,0.01795,0.33537,0.00617,0.00352,1.49208,nan,1.31643,0.00134537,0.00134537,0.00134537
17,65.9592,0.72496,0.4246,0.86518,0.05631,0.42073,0.03339,0.02246,1.27115,15.4618,1.07166,0.00141389,0.00141389,0.00141389
18,69.1361,0.74349,0.4275,0.87159,0.41487,0.54043,0.32147,0.22803,1.14882,2.14956,1.00035,0.00148043,0.00148043,0.00148043
19,72.2386,0.75822,0.44624,0.86546,0.61891,0.68293,0.50711,0.37198,1.02354,1.86196,0.96042,0.00154498,0.00154498,0.00154498
20,75.5346,0.82154,0.43552,0.91043,0.50165,0.62805,0.39492,0.29608,0.96146,4.52621,0.9481,0.00160756,0.00160756,0.00160756
21,78.6923,0.71028,0.42181,0.86788,0.57259,0.65854,0.44278,0.32374,1.05346,2.66307,0.98398,0.001604,0.001604,0.001604
22,82.0758,0.74194,0.40437,0.85494,0.67478,0.62805,0.52731,0.38964,1.05946,1.88207,0.97792,0.0015842,0.0015842,0.0015842
23,85.1904,0.77915,0.39782,0.85888,0.81338,0.66441,0.66385,0.49301,0.99712,1.18118,0.96286,0.0015644,0.0015644,0.0015644
24,88.4342,0.74504,0.40714,0.86795,0.94232,0.72561,0.822,0.60811,0.96662,0.81497,0.95234,0.0015446,0.0015446,0.0015446
25,91.7669,0.7755,0.40294,0.87178,0.91827,0.7378,0.8139,0.60323,0.97348,0.8652,0.9587,0.0015248,0.0015248,0.0015248
