epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.85947,1.2347,4.9351,1.19781,0.00032,0.01754,1e-05,0,1.3346,4.76196,1.19753,2e-05,2e-05,2e-05
2,9.82619,1.21759,4.94531,1.17674,0.00032,0.01754,1e-05,0,1.30917,4.7808,1.1925,5.9406e-05,5.9406e-05,5.9406e-05
3,11.9675,1.19436,4.84594,1.18916,0.47505,0.58741,0.48839,0.35759,0.99976,1.56718,0.98485,9.802e-05,9.802e-05,9.802e-05
4,14.5128,1.05875,1.93024,1.04044,1,0.57895,0.91529,0.68502,0.91664,5.17173,0.95338,0.000135842,0.000135842,0.000135842
5,17.2003,0.87548,0.82676,0.94075,0.74492,0.7173,0.7416,0.47998,1.12363,1.47653,1.05436,0.000172872,0.000172872,0.000172872
6,19.3041,0.87363,0.93449,0.91355,0.74874,0.94737,0.8809,0.67299,0.97485,1.60772,0.97984,0.00020911,0.00020911,0.00020911
7,21.3289,0.7792,0.6849,0.87246,0.85737,0.92982,0.92519,0.72517,0.82674,0.85691,0.92592,0.000244556,0.000244556,0.000244556
8,23.5774,0.79452,0.58896,0.88982,0.72379,0.92982,0.84924,0.58577,1.21121,1.86411,1.16617,0.00027921,0.00027921,0.00027921
9,25.6095,0.92051,0.63338,0.97196,0.69436,0.87719,0.81374,0.57831,1.15482,1.61865,1.12885,0.000313072,0.000313072,0.000313072
10,27.6667,0.82264,0.64282,0.89228,0.62496,0.85965,0.8146,0.64211,0.87639,1.74446,0.95468,0.000346142,0.000346142,0.000346142
11,29.8816,0.78413,0.53058,0.87375,0.59709,0.85965,0.85659,0.66731,0.81654,1.99061,0.92492,0.00037842,0.00037842,0.00037842
12,31.9812,0.72755,0.51396,0.88309,0.5806,0.74561,0.62318,0.48184,0.84458,2.08996,0.93524,0.000409906,0.000409906,0.000409906
13,34.0107,0.75351,0.50175,0.8444,0.55475,0.77193,0.54256,0.39593,0.98638,3.25463,0.992,0.0004406,0.0004406,0.0004406
14,36.0686,0.72553,0.48537,0.87175,0.57624,0.7807,0.54554,0.40105,0.97988,2.15953,0.98112,0.000470502,0.000470502,0.000470502
15,38.1559,0.7119,0.47215,0.88608,0.06595,0.73684,0.06174,0.04595,0.95268,inf,0.97134,0.000499612,0.000499612,0.000499612
16,40.1966,0.70427,0.42947,0.86553,0.0431,0.68421,0.03982,0.0287,0.97752,inf,0.98123,0.00052793,0.00052793,0.00052793
17,42.2205,0.718,0.41064,0.85826,0.03802,0.72807,0.03384,0.02545,0.95986,40.3537,0.97514,0.000555456,0.000555456,0.000555456
18,44.2462,0.69162,0.41245,0.85349,0.0528,0.75439,0.05061,0.03861,0.92596,18.9377,0.96301,0.00058219,0.00058219,0.00058219
19,46.2755,0.67958,0.45496,0.90851,0.07867,0.70175,0.07643,0.0587,0.89561,12.1395,0.95519,0.000608132,0.000608132,0.000608132
20,48.8399,0.71065,0.44463,0.89359,0.10297,0.58772,0.09657,0.0747,0.87257,6.24507,0.95163,0.000633282,0.000633282,0.000633282
21,51.3494,0.70031,0.48764,0.85726,0.14517,0.59649,0.13325,0.09841,0.95316,4.36913,0.98336,0.00065764,0.00065764,0.00065764
22,53.8591,0.61354,0.41138,0.8665,0.32341,0.75439,0.30388,0.2167,1.01889,2.61098,0.99971,0.000681206,0.000681206,0.000681206
23,56.1081,0.74195,0.44375,0.87482,0.34286,0.7807,0.33771,0.23929,1.00788,2.53188,0.99962,0.00070398,0.00070398,0.00070398
24,58.2769,0.71122,0.45129,0.89567,0.25315,0.69298,0.21057,0.13783,1.16629,3.63925,1.07372,0.000725962,0.000725962,0.000725962
25,60.6169,0.71142,0.42788,0.87297,0.04447,0.37719,0.02678,0.01573,1.50701,16.7877,1.19903,0.000747152,0.000747152,0.000747152
26,62.6217,0.65439,0.39404,0.88721,0.08589,0.48246,0.05924,0.03825,1.31702,12.6186,1.11142,0.00076755,0.00076755,0.00076755
27,64.5785,0.65696,0.38002,0.84481,0.20542,0.50877,0.15725,0.10491,1.20855,5.03241,1.05517,0.000787156,0.000787156,0.000787156
28,66.4516,0.66001,0.38973,0.85623,0.20542,0.50877,0.15725,0.10491,1.20855,5.03241,1.05517,0.00080597,0.00080597,0.00080597
29,68.447,0.59541,0.36645,0.82675,0.37804,0.54384,0.26843,0.19111,1.13679,2.15377,1.03521,0.000823992,0.000823992,0.000823992
30,70.3926,0.6077,0.38119,0.85522,0.487,0.67544,0.43522,0.32833,0.98542,1.55366,0.98356,0.000841222,0.000841222,0.000841222
31,72.2673,0.62879,0.3753,0.82776,0.487,0.67544,0.43522,0.32833,0.98542,1.55366,0.98356,0.00085766,0.00085766,0.00085766
32,74.1982,0.64919,0.40231,0.86848,0.26722,0.67495,0.23483,0.16848,1.0793,3.67473,1.01028,0.000873306,0.000873306,0.000873306
33,76.124,0.70499,0.40535,0.85571,0.19701,0.68421,0.17151,0.13059,0.93744,6.79469,0.96913,0.00088816,0.00088816,0.00088816
34,78.0528,0.64851,0.40504,0.83743,0.19701,0.68421,0.17151,0.13059,0.93744,6.79469,0.96913,0.000902222,0.000902222,0.000902222
35,79.9806,0.6355,0.41829,0.84799,0.19911,0.77193,0.18051,0.13333,1.01193,11.1743,1.00322,0.000915492,0.000915492,0.000915492
36,81.931,0.67899,0.41875,0.85721,0.16527,0.70511,0.1374,0.10143,1.04554,13.4333,1.02373,0.00092797,0.00092797,0.00092797
